Trial,Post-Stimulus Frontal Mean,Pre-Response Frontal Mean,Post-Stimulus Frontal Stdev,Pre-Response Frontal Stdev,Post-Stimulus Central Mean,Pre-Response Central Mean,Post-Stimulus Central Stdev,Pre-Response Central Stdev,Post-Stimulus Temporal-L Mean,Pre-Response Temporal-L Mean,Post-Stimulus Temporal-L Stdev,Pre-Response Temporal-L Stdev,Post-Stimulus Temporal-R Mean,Pre-Response Temporal-R Mean,Post-Stimulus Temporal-R Stdev,Pre-Response Temporal-R Stdev,Post-Stimulus Occipital Mean,Pre-Response Occipital Mean,Post-Stimulus Occipital Stdev,Pre-Response Occipital Stdev
104,-0.14449905,0.05792446,4.3671327,4.383601,0.031299487,-0.055130143,3.701207,3.649198,-0.15305136,0.17397082,4.1654806,3.9785848,0.18200697,0.035357405,3.4845123,3.6063473,-0.07409296,-0.11673922,5.0194902,4.7088394
105,0.27336377,0.33574536,4.2854805,3.9284437,0.13889287,-0.009620444,3.6609826,3.4466348,-0.32059085,-0.07089736,4.1748095,4.1453586,-0.12851329,0.036683857,3.880613,3.3670738,0.028093481,-0.21273942,4.9948015,4.8252063
106,-0.084306866,0.35531366,4.726926,4.996096,-0.0019843131,-0.222405,3.2944872,3.587027,-0.0961617,0.10191343,4.403719,4.154345,0.08593956,0.021822238,3.6481075,3.8464653,0.01242238,-0.090829305,5.1250834,5.0383873
107,0.0763841,-0.37089062,3.9865599,4.7603693,-0.07856295,0.08440092,3.1332507,3.7053726,0.28443864,-0.124890365,5.0696282,4.925631,-0.10672612,-0.07451674,4.8409715,4.4366403,-0.09386375,0.2858273,4.676904,5.418981
108,-0.048828114,0.09004531,5.7629876,5.8394885,0.09278486,0.068799354,3.9105577,3.7527096,-0.1132834,-0.26689252,4.881976,5.3420258,0.049326707,0.09948006,4.672781,4.8683863,-0.07529796,-0.06666091,5.5918393,4.833318
109,-0.16520798,-0.5144082,5.701069,6.304947,0.051107485,-0.112407476,3.278832,3.2942133,0.0921317,0.40054044,4.7724266,4.8957353,0.05247445,-0.16410048,5.1938157,4.4968195,-0.0016182022,0.31780604,4.7903247,5.452117
110,0.031874623,0.011152689,6.0516386,6.534314,-0.17750716,-0.2216227,3.727949,3.5656939,-0.102467835,0.024537554,4.539298,5.043457,0.28456625,0.21457867,5.142398,5.6796193,-0.015976815,0.029954895,5.007424,4.7436395
111,-0.29207662,-0.0155019285,5.0702987,4.8925753,0.1126922,0.005801955,3.323444,3.17178,-0.18625657,-0.111301094,4.263337,4.082941,0.0076982803,-0.07602023,3.7457612,3.614971,0.22039415,0.21989238,5.812591,4.786654
112,-0.05100292,0.019282522,5.382108,5.2201276,-0.12136223,-0.0821241,3.61388,3.5671453,0.11001169,0.1892681,4.552387,4.580305,0.0061637736,0.0667449,4.4073753,3.6449158,0.08065382,-0.1513961,5.293213,5.4564567
113,-0.11895442,-0.083780535,6.2586083,5.055474,0.02975438,0.22815879,3.4716942,3.6053169,-0.0938122,-0.15331702,4.052394,4.6107154,0.060395647,-0.07946614,3.8322718,4.1617446,0.21735449,-0.16466774,5.304711,5.0914817
114,0.19842505,0.0076995455,4.8942924,5.6597657,-0.06542181,-0.09955334,3.619691,3.7708027,0.03128234,0.0028009869,4.185372,5.6321597,0.14793919,-0.039710946,4.110886,4.0579505,-0.17742743,0.116295464,5.4017653,5.6054606
115,-0.15641578,0.1817476,5.0440025,5.3302274,0.059802126,0.025614016,4.000562,3.6899707,-0.092505,0.14432856,4.2573977,4.4225793,0.0820783,-0.22516596,3.9506114,4.0080814,0.07146395,-0.118447326,5.004524,5.067339
116,0.0927927,0.04544471,5.3274646,5.6988087,0.016673455,0.04072882,3.579483,3.478354,-0.36323524,-0.12839848,4.368724,4.420634,0.07482105,-0.072993286,4.7019587,4.611011,0.005406206,-0.002816302,5.4056754,5.3614173
117,0.12799138,0.08119053,5.520607,5.106191,-0.08448291,0.042763427,3.157808,3.2754836,0.11463221,0.06888761,3.8784223,3.7310686,-0.12170165,-0.074522294,3.4916718,3.7030494,-0.0005897097,-0.14645864,5.0472,4.9987764
118,-0.22201271,-0.11031419,5.0326147,5.9119153,0.024011098,-0.050857436,3.5730302,4.0306244,0.002213626,0.20782833,4.115721,6.8385515,-0.102042764,0.10636624,3.8042781,3.750382,0.2541703,0.024393255,5.3224206,5.4791756
119,-0.26000002,0.23228152,5.975195,4.806929,0.123476766,-0.041683946,3.9382625,3.1550453,-0.07205963,-0.015773539,4.94956,4.0314717,0.2130177,-0.102581285,4.26731,3.775771,-0.057147224,-0.053367306,6.137054,4.9579744
120,-0.32970452,0.07208922,4.2214117,4.12754,0.37001812,-0.015396602,3.6880481,3.533596,-0.34918222,-0.11734778,3.7293637,3.762823,-0.14936027,-0.049656946,4.5127153,4.322638,0.0031912972,0.15209745,4.6434426,4.7822204
121,0.10498149,-0.06501655,4.9063416,4.567999,0.045879204,0.015070247,3.6439917,3.7585778,0.12348064,-0.028503785,4.0405536,4.2092576,-0.3118901,-0.11384925,5.0632963,3.6607668,0.095261455,0.18231647,5.4946456,5.1563144
122,-0.25333592,-0.08509901,5.4841733,4.183839,0.010247522,-0.0022414017,3.094728,3.5986888,0.10301604,0.18853505,4.3346753,4.381537,-0.042621683,0.013875033,4.637303,4.2080097,0.13422723,-0.021559833,5.248114,4.867301
123,-0.024887279,0.12147375,5.2784944,3.8025537,-0.03238997,0.13472447,3.643919,3.218159,0.07615522,-0.019191086,4.906774,4.9028277,0.089273594,-0.14877473,4.183043,4.5723147,-0.025023296,-0.19276266,4.9772654,4.306853
124,-0.030578306,0.022774525,4.427154,3.925001,-0.21507178,0.098647036,3.3047729,3.570987,0.07645152,-0.043060567,4.1004863,4.378676,0.18179607,-0.061762255,3.2713733,4.068721,0.06316357,-0.111002944,4.6168704,5.2865458
125,-0.5163552,-0.20943522,5.0504594,4.8268733,0.13834973,-0.059065267,3.9286473,4.266415,-0.13268511,0.018639272,4.74284,4.643009,0.18555547,0.14207718,4.4158354,4.445464,0.18288516,0.13509303,4.989941,5.055215
126,0.056457426,0.006395936,5.2957535,4.956121,0.22641838,-0.095969655,3.4016855,3.68524,-0.2805688,0.09410662,5.285239,4.8347173,0.096445225,0.1590326,4.391846,4.08767,-0.17738728,-0.010154888,5.1860137,5.4439645
127,-0.2869878,-0.02251672,4.6377487,4.4800215,-0.07954748,-0.04196133,3.6222022,3.3705654,-0.015672918,0.045266837,4.3646817,4.781536,0.029443515,-0.15659893,3.7854645,4.471639,0.17786849,0.095953405,4.91307,4.909427
128,-0.107710205,0.20856118,4.4565325,4.45813,-0.04465431,0.07530817,3.2994833,3.392427,-0.008625001,0.18461768,4.727947,4.90039,0.104465716,-0.039411742,3.980389,3.8850853,0.10596108,-0.21988972,5.047296,4.969376
129,-0.1681394,-0.21345909,5.80651,4.7253475,0.11098647,-0.04359659,3.3826585,3.4179797,-0.14753269,-0.007819968,4.6243377,4.5868106,-0.13359895,-0.07238876,4.4980345,3.9552903,0.11390153,0.100788645,5.6550694,5.1693974
130,0.13823228,0.24448985,5.394022,5.3980966,-0.1173904,0.018494276,3.9295208,3.6894836,-0.07054404,0.009024962,4.5607486,5.289538,0.12955917,-0.013192862,4.2862725,4.117748,-0.03369431,-0.13739794,5.1090026,5.0514407
131,0.180703,-0.17868908,4.9698324,4.290056,0.10238693,-0.14014083,3.5811327,3.370449,-0.20954974,0.15608977,4.570503,4.0141006,-0.07584798,0.00040205382,4.056585,3.844344,-0.01944873,0.20731115,5.178572,5.0956926
132,0.12970571,0.08781191,4.833678,4.4303207,-0.08326576,-0.09883734,3.0511422,3.4777908,0.11066669,-0.04036597,4.448879,4.349613,0.026095323,0.0047964393,3.6420476,4.075076,-0.049756687,0.039055932,4.8687234,4.8932476
133,0.13973597,-0.04670577,4.8883076,4.668972,-0.07591949,-0.12571037,3.246606,2.9903367,-0.06561156,0.16385192,4.552407,4.295064,0.09675673,0.067216575,4.3684487,3.865985,-0.001530615,-0.011195998,5.047285,4.933949
134,-0.47179005,0.08807823,5.3000774,4.714141,-0.15591459,0.27153146,3.730706,3.431511,0.12122538,-0.22505963,4.81411,3.9336097,-0.12006262,0.019274889,4.224973,3.738396,0.37306735,-0.2132489,5.242202,5.2879157
135,-0.037698414,0.19982344,4.730981,4.603341,-0.080788545,-0.085513145,4.231379,3.9671526,0.20347124,0.2763814,4.5836782,5.636437,-0.09966704,-0.10565066,3.7972267,3.9055126,0.07264296,-0.04395801,5.119568,4.580245
136,0.097740956,0.0807645,4.6574516,4.0778995,0.03900704,0.04090357,3.5821948,3.6318574,-0.046983555,-0.020444455,4.711088,4.133907,-0.026613876,0.05889514,3.8060238,3.2755914,-0.12544881,-0.13599384,4.720841,4.595867
137,0.44352913,0.068029426,4.6081247,4.159595,-0.18404011,0.084959306,3.3127868,3.260798,0.02464361,-0.15273699,3.9249685,4.320442,0.26550165,-0.15646027,3.3072538,3.4719837,-0.2629265,0.08709688,5.195371,5.1845226
138,0.021370152,0.04549678,5.0274563,4.825338,0.06463928,-0.15704869,3.3002205,3.2521276,-0.011194817,0.14538862,5.070163,3.9712183,0.019095898,0.15635635,3.649533,3.1645606,-0.12216353,-0.08412554,5.3948545,5.2505107
139,-0.09295556,0.22058272,4.959717,4.367555,0.073809914,-0.10382738,3.7171295,3.7141695,-0.0203702,0.0004516927,3.8561873,4.5750785,-0.28760535,-0.12181712,3.62147,3.951294,0.09747109,0.15952238,6.122777,5.584444
140,-0.026415592,0.20485103,6.772465,4.5795083,-4.708146e-05,-0.113305025,3.353745,3.263625,0.12773465,0.1555612,4.72897,4.38711,-0.10819133,-0.18620165,4.87899,4.334331,0.043970913,0.037955668,6.2198753,5.6739593
141,-0.25641906,-0.010146894,4.620571,4.896523,-0.03712481,-0.03608464,3.4346745,3.900003,-0.066156365,0.1971475,4.32545,5.1040874,-0.072311655,-0.17403561,4.036569,4.7699895,0.1693889,0.16462247,5.8238587,6.445161
142,-0.07243025,-0.18684399,4.2203035,4.2831798,0.055727933,0.060410064,3.184088,3.3951871,0.05841251,0.07011387,3.9681425,4.4240403,-0.22810172,0.014377312,3.7486317,3.922296,-0.014257905,0.08598006,5.4746423,5.560506
143,-0.17744307,0.17102508,5.8697042,4.6230793,-0.025548786,-0.07973936,3.8852408,3.3175018,-0.14279668,0.2275358,4.899919,4.7523117,0.20448399,0.013312633,4.7157717,3.9600344,0.06939868,-0.072010905,5.828316,4.452959
144,-0.090218864,-0.10329524,4.764297,4.337007,-0.056312647,-0.032930426,3.1174636,3.107836,-0.08563087,-0.09856544,4.836804,4.462282,-0.16628808,0.20333944,4.287668,4.7854185,0.24852692,0.035599116,5.0783024,5.052014
145,0.19311242,0.15657942,5.2341113,5.1622686,-0.007713878,-0.17249542,3.4249618,3.9636073,0.19268478,0.034475893,4.628519,4.5238934,-0.30088547,0.13455899,4.171707,4.074665,-0.0122034205,-0.037543606,5.5156307,4.957653
146,0.22896673,-0.29236454,5.521604,5.398577,0.105617404,0.1976937,3.3435855,3.713642,-0.17263645,0.12550883,4.7502394,5.348443,0.0420766,-0.29140097,4.6156096,5.015488,-0.19963427,0.20747952,5.6363606,5.5418963
147,0.019263951,-0.19495976,5.516537,5.3119125,-0.010835147,-0.03862095,3.8214512,3.5488966,-0.10005402,0.056939185,5.0106764,4.597936,0.16214186,0.0740745,4.0410085,4.52164,-0.12858087,0.07744878,6.198749,5.213118
148,-0.025839472,-0.09618496,4.7222905,9.084618,-0.08131764,-0.21925013,3.888573,5.1445856,-0.12264105,0.007907442,6.2083483,7.9885077,0.1185444,0.110832214,4.554811,6.8562193,0.043265987,0.1842515,4.9533362,6.9505196
149,-0.22634353,0.105796635,5.584221,4.7314906,0.059360463,0.045327518,3.2926915,3.9090786,-0.20798717,0.10049019,5.7593303,4.869731,0.052684646,-0.23722036,4.627894,4.6028767,0.18763852,0.07180436,5.005317,4.6386423
150,0.03234393,0.070997305,4.134782,4.3234496,-0.11064903,0.1221093,3.6597319,4.339818,0.10065738,-0.33383632,4.271386,4.9745226,-0.031018265,-0.030080417,3.7086136,4.6578574,0.037070725,0.044783693,4.9198346,4.7444205
151,0.09784327,-0.32510146,4.1199555,4.277051,-0.11030215,-0.01668649,3.7553737,3.6846375,0.34417072,-0.18935597,5.449387,5.496254,-0.27912933,0.21554606,4.458864,4.823397,0.065851465,0.14984219,5.206518,5.4730577
152,0.056518693,0.049099654,3.7716796,3.3043354,-0.13345337,0.49120042,3.3657541,3.7669766,0.13438845,-0.34532976,4.212184,4.0626154,0.22146527,-0.1616576,4.789245,4.93473,-0.03559627,-0.13891947,4.4765644,4.474778
153,-0.3329198,-0.49003783,4.2416625,4.536857,-0.21400869,0.35333073,3.3297625,3.6696782,0.21354242,-0.20011486,3.70646,3.8187459,0.072902314,-0.02709802,4.216866,3.3687963,0.24748199,-0.110642634,5.1629424,4.6361494
154,0.07774216,-0.16071223,3.9117706,4.676355,0.054980826,-0.09736707,3.6087046,3.674312,0.0068603023,-0.07152199,3.8572252,4.2867875,-0.2448423,0.15502833,4.7804956,4.8587785,-0.02571368,0.14720872,4.754353,5.122734
155,-0.14010146,-0.06229497,3.625975,3.9791937,-0.028325686,0.05547598,3.3854578,3.2913637,0.06351737,0.23331751,4.119257,4.291015,-0.23775649,-0.25098225,4.624073,4.270174,0.16073485,0.16894256,5.109529,4.683488
156,0.40621528,0.14976396,5.682273,4.794341,-0.17436107,-0.19683684,3.3566658,3.5439177,0.014608249,0.06747212,4.226719,4.954265,0.055229794,-0.02521959,4.488631,4.26883,-0.17372636,0.12040495,5.2346654,4.801542
157,-0.18552315,0.32169428,5.511978,4.88453,-0.008932404,-0.056206208,3.3400068,3.508982,0.041629154,0.031473976,4.98481,4.7634144,-0.15110578,-0.039423913,5.1171985,4.42328,0.13222669,-0.037204992,5.439666,5.231454
158,0.036130995,-0.053521883,4.2981315,4.3098373,0.10870773,0.036436252,3.9631088,3.8113248,-0.22773321,0.029217394,4.431141,4.5310936,-0.11152197,-0.046998482,4.1493626,4.1495104,0.13367037,-0.000868051,5.2032757,5.1532187
159,-0.09989566,0.045521047,4.7529826,4.182806,0.0303568,0.04705138,4.2835937,3.7906163,-0.16197163,-0.011608242,4.5836034,4.5422807,0.07173317,-0.14225267,4.9600964,4.740963,0.12245629,-0.008353867,5.3220997,5.4780307
160,0.017569171,-0.5617254,4.7743816,5.4130673,-0.16450353,0.032145064,4.2492127,3.9700806,-0.0020117175,-0.02635234,4.7367578,4.1354237,0.024087094,-0.12797292,4.8241005,4.7063932,0.0030023828,0.4591156,5.364698,5.3331485
161,-0.11832243,-0.17307204,4.764587,3.77522,0.120567076,-0.07677274,3.4725914,3.7540867,-0.10389062,-0.08700367,3.7232387,4.1048245,-0.12460807,0.018387819,4.614043,4.1443934,0.12219965,0.24219859,5.0314684,4.6174707
162,0.029190034,-0.18283893,6.9089518,3.965816,-0.007517206,0.026646601,3.905322,3.1161678,0.056400854,-0.18405873,4.9811106,4.0252695,-0.20350076,0.04599573,4.8372493,4.373277,0.031840988,0.027535712,6.304437,4.5250554
163,-0.19657715,0.023571566,5.234813,3.63665,0.047125056,0.15320772,3.8421493,3.6938562,-0.060271095,-0.34280875,4.6456556,4.5570965,0.0078141345,0.06002484,4.6303544,4.8248563,0.062298715,-0.099499516,5.794275,4.864555
164,-0.115022995,-0.067944266,5.5824633,5.4088807,0.34036314,-0.009878333,3.649758,3.4160366,-0.39006606,-0.04574809,4.4921937,4.444063,-0.29567483,-0.197555,4.1393485,4.446915,0.06452748,0.19908185,5.578547,5.4780507
165,-0.081551224,-0.15968429,5.8274536,4.477157,-0.20012487,-0.14202654,3.5510945,4.3349214,0.09537657,0.18509237,5.248312,5.1535754,0.08882237,-0.008883019,4.9325156,4.539729,0.11352012,0.19976048,6.023645,5.0061574
166,0.33361104,0.060013264,4.802482,4.126744,-0.33822837,0.11785403,4.1621885,3.5589194,0.17902412,0.012200219,5.2139907,4.7656283,0.04056243,-0.1776479,4.4992657,4.7840343,0.04391414,-0.04482636,5.2479424,4.673284
167,-0.5344596,0.03879412,5.248729,4.826886,0.14235222,0.2875543,3.3338609,4.1827183,0.019207323,-0.30921462,4.2110167,4.6098957,-0.0925593,0.105356775,4.929029,5.404415,0.202498,-0.1347638,4.806922,4.8784447
168,-0.36404815,0.25457904,5.449274,4.264897,0.3083482,-0.06429531,3.732803,3.2347403,-0.04791248,0.054442834,4.529731,3.9332423,-0.25660613,-0.09837743,5.127754,4.1272006,0.19260962,-0.16982734,5.5995793,4.8993564
169,-0.2808779,-0.060258955,4.825381,4.6580896,0.22387736,-0.14515252,3.4374433,3.8753638,-0.015467625,0.14130287,6.47455,7.034922,-0.21698792,0.14651738,5.650061,5.694296,0.17534097,0.12637854,5.7845373,5.492221
170,0.16320853,-0.266581,5.5464644,4.3346677,-0.19298582,-0.066871226,3.9692492,3.6117954,0.20006408,0.010453559,6.0021844,5.813425,-0.0633302,0.08710384,5.4059486,4.905842,-0.031588133,0.14501636,5.847752,4.8317957
171,-0.15417135,-0.23973288,4.2290874,5.03258,0.11803808,-0.017025746,3.576205,3.8677146,-0.063899994,0.04238245,4.976373,4.9043245,-0.14595589,-0.021749707,4.8922377,4.9799604,0.16036552,0.15506601,5.5921764,5.1764345
172,-0.28279856,0.16368306,4.9890404,4.529213,-0.123808466,0.11228847,3.4351215,3.8786414,0.056766998,0.017240541,5.520082,5.650221,0.018236581,-0.016477842,4.993431,5.0408716,0.36343142,-0.24874525,5.4642415,5.5290875
173,-0.050157964,0.07645818,4.7049294,4.4967585,0.17702669,-0.15565199,3.313449,3.8412735,-0.03320816,0.15849327,5.0767865,4.9790835,-0.12803803,0.06109492,5.053283,5.105516,-0.048317168,0.028930863,5.1812854,4.897642
174,-0.11969025,-0.088222526,5.8599,4.0739884,-0.14857306,-0.36281884,4.02914,4.322959,0.011216745,0.3189344,5.512342,6.035657,0.26758128,-0.09805194,5.1020246,4.850379,-0.034335,0.39029968,5.876604,5.0761
175,-0.18895382,-0.25589108,5.941727,4.079501,-0.24824257,-0.078420684,4.174543,3.2369807,0.11924938,0.043644547,5.5287514,5.759051,0.0785482,0.11148185,4.8165007,5.1928306,0.26357272,0.0962575,5.779532,4.608064
176,-0.11201286,-0.10553355,4.5480967,4.195416,0.095347576,0.048499335,3.3809392,3.3227656,0.026129745,0.13381134,5.1757584,5.602282,-0.082474254,-0.049122408,5.3290772,5.32867,0.07412795,-0.062442776,5.369856,4.5301223
177,0.09592694,-0.12901866,4.5887504,4.8244314,-0.2990916,0.0825626,3.5900877,3.5339706,0.18220116,-0.19384994,5.1051545,4.7154365,0.23860098,0.059192315,5.0190244,4.9533916,-0.018116856,0.08271239,5.0502434,5.096145
178,0.090495385,0.031406716,6.048768,4.4106126,0.010958042,-0.23018725,3.6451669,3.7661831,-0.007956117,-0.006257791,5.3800607,5.0808578,-0.006113775,-0.004216524,5.0188904,4.9818015,-0.09115014,0.17626156,6.254333,4.98397
179,-0.22505975,-0.05135532,4.3652663,4.689259,-0.10044893,0.0071949586,3.5218396,3.2773838,0.02081929,-0.0026626512,6.2724924,4.427533,0.011020052,-0.24257272,5.59155,5.704418,0.25202838,0.13914818,4.8736644,5.361865
180,0.0380347,-0.06018256,3.958357,4.983965,-0.011248112,-0.19137196,3.7717423,3.5607436,0.052161276,0.11930188,4.8410106,4.04925,0.09777459,-0.26013494,4.384143,4.678408,-0.020892285,0.32386556,4.600905,4.9288106
181,0.10119095,0.0030763696,4.597453,4.7778325,0.008044614,0.004989018,3.1198144,3.3521707,-0.15365697,0.0728232,4.0391483,4.1981874,0.033293646,0.009575459,3.8024726,4.321453,-0.0926544,-0.079960205,4.9445796,4.301874
182,-0.25412235,-0.027238825,5.498243,4.4585013,-0.02037738,-0.15798555,3.5108461,3.5078723,0.108780116,0.2848154,5.2643375,4.9428196,-0.03985556,-0.080462635,4.349184,4.455566,0.17908758,0.02779959,5.3275323,4.540935
183,0.0096879555,0.049700726,4.4767513,4.090844,-0.18623848,-0.07393344,3.4040341,3.4874926,0.051604267,0.22486047,4.92131,6.3599324,0.046878804,-0.08869768,4.6970997,4.809014,0.09610488,0.0036745481,4.7576594,4.701088
184,0.032131564,-0.07536373,5.4989285,4.560233,-0.12788421,0.15095349,3.836938,3.2721245,-0.11999038,-0.117007576,6.876073,7.306358,0.18369347,0.06086664,5.1147842,5.2770324,0.17525281,-0.13779323,5.4624357,5.230695
185,0.10790209,-0.033057913,5.2602715,4.7753186,-0.07497778,-0.0014634865,3.4267566,3.4613822,0.06723724,-0.16703774,6.502392,6.572053,-0.14136101,0.11835601,6.0353723,5.371118,0.03976,-0.113791846,5.3651013,5.0044765
186,0.2879914,0.15390013,4.5258803,4.4429207,-0.060134947,-0.2556096,3.8209336,3.0117614,-0.054939505,0.07313573,5.0750904,5.7710133,0.03691705,0.15027227,4.1300864,4.437668,-0.08406243,0.09424949,4.7306557,4.22378
187,-0.018073732,-0.08769236,5.1728935,5.2882924,-0.096800886,0.19357912,3.3600752,3.3065863,0.074343316,0.09418362,5.843565,5.588595,0.073931746,-0.089164995,4.2102675,4.75663,0.01870569,-0.14979757,4.8531594,4.969031
188,0.37334383,0.27481145,4.7917585,4.7692175,-0.19688463,-0.09556022,3.3113914,3.2889798,0.023074115,-0.07126938,5.818311,5.831108,0.069951095,-0.0106804175,4.914146,4.9215307,-0.14904137,-0.056573153,5.1334205,5.160507
189,0.16985832,-0.07322914,5.244638,4.7311354,0.015470728,-0.024424063,3.3023303,4.068545,-0.057699993,-0.016983801,7.4634523,7.7299447,-0.053790644,0.18600447,5.0883384,6.0004306,-0.038694378,0.033097263,5.370907,5.010573
190,0.40861806,-0.13380742,4.9103856,4.9019732,0.073094495,0.0042537698,3.573731,3.490884,0.01704517,-0.36996722,6.3760147,5.996291,0.18117483,-0.084177844,5.3588924,5.6310644,-0.48778704,0.30396065,5.407695,5.775313
191,-0.16465472,-0.24409424,4.257995,4.2837386,-0.084549606,-0.09742687,3.7563581,3.748456,-0.023172356,0.02433529,6.2705817,6.2697983,0.18354917,0.12198343,4.7142687,4.746845,-0.05044833,0.046354543,4.8569956,4.8729267
192,-0.22529404,0.13499208,4.2329526,5.278765,0.17181903,-0.06006201,3.5327945,3.979997,-0.16819076,0.054998726,6.4972196,6.9183574,-0.025054038,-0.101891495,4.825089,5.3103986,0.022990905,0.0760312,4.8236146,5.840571
193,-0.06580275,0.002718008,4.218656,4.4849224,-0.06193169,0.035900727,3.9135234,3.6806457,0.15454261,-0.18092787,6.2913384,7.1129603,-0.07330427,-0.17086153,5.0765967,5.3767343,-0.045908358,0.17330796,4.892859,5.0126495
194,-0.085114874,0.21964365,5.36769,4.504503,0.02640838,-0.06843419,3.4562411,3.5646844,0.09455055,-0.18540864,6.773955,6.3752666,-0.10623193,0.111167096,5.171385,4.8811927,0.07899936,-0.029504227,5.376731,5.0758705
195,-0.13052993,-0.08422317,4.3197603,4.716067,-0.03993603,-0.15970688,4.5042033,3.5909302,0.16388398,0.14623201,6.9595375,6.8037596,-0.0016425749,0.05573222,5.276077,5.1618423,0.08472755,0.12455716,5.1331253,5.530303
196,0.11992168,-0.06100251,4.3459916,4.390098,-0.019959494,-0.4181994,3.8420472,3.886894,-0.13519187,0.2358821,6.0687537,6.355904,0.12309306,0.07433385,4.9998283,5.101768,0.023942351,0.33664253,5.1612067,5.2929726
197,-0.559002,-0.2666717,5.7088556,4.0475054,-0.04723778,0.08480733,3.7462006,3.7477136,0.13281944,0.024910754,4.9575105,5.600537,0.08905489,-0.087421216,4.311907,4.9416084,0.30996963,0.2407407,5.3516607,4.941604
198,0.09678633,0.18109016,4.3867836,4.084371,-0.12686309,-0.12437397,3.6650112,3.4927,-0.010955699,0.16009957,7.612243,7.5321207,-0.043186277,-0.048140973,5.339832,5.1530914,-0.011618201,-0.15133643,5.6265464,5.5735455
199,0.0580834,-0.14508083,4.857703,4.9431806,0.040891502,0.12216089,4.255737,3.8843126,0.01185175,0.05434082,6.66581,6.7487626,-0.04930697,0.12296154,5.46318,5.4187727,-0.116647996,-0.044291776,5.463065,5.644539
200,-0.12946571,0.12297762,4.062985,4.023598,0.22425222,-0.20871691,3.488877,3.581534,-0.21773225,-0.10215605,6.8431277,7.164607,-0.13781877,0.2783885,4.6759224,4.958793,0.008907453,-0.027779853,5.54782,5.787024
201,-0.01506875,-0.08086473,5.320175,4.9685345,0.008431561,-0.06941367,3.5923207,3.6393938,-0.10931755,-0.21100175,7.188829,6.80265,-0.056146275,0.095184885,5.0424266,5.0352488,0.04934481,0.13393265,5.571454,5.850252
202,0.017129188,0.19698708,4.4080744,4.2952914,-0.09255052,-0.04756093,3.44591,3.1123435,0.04375458,-0.13683994,6.7389097,6.8097816,-0.02963887,-0.12404386,4.7864475,4.6830664,0.14431354,-0.039473258,5.39114,5.143878
203,-0.29417196,-0.17424001,4.199189,4.6834083,-0.06483379,-0.07497129,3.5204437,4.3148203,-0.1284829,-0.18870948,7.257945,7.2609735,0.13700767,0.004799075,4.5808864,4.4802237,0.23629391,0.20486392,4.923201,4.9154925
204,-0.057958167,0.08612484,4.473201,4.528224,0.12874395,-0.16514018,3.7574499,3.3698716,0.0603531,0.07234884,6.818558,7.444379,-0.08691853,0.084297456,4.6931725,4.747947,-0.13764982,-0.016813472,4.9098783,5.0706177
205,-0.08856833,0.10294857,4.925388,3.998328,0.1296073,-0.031631745,3.812284,3.3206987,-0.18855546,-0.0013555748,7.67118,5.504449,-0.04481304,-0.074163504,5.1070037,4.4427857,0.15270004,-0.107011735,5.337008,4.950825
206,-0.017801091,-0.08665401,5.528217,5.5825,0.06918184,0.23934604,3.7766812,3.9993196,-0.013735508,-0.32959545,6.5158257,6.728606,-0.042806666,-0.005477143,4.663439,4.6711073,-0.018373756,-0.054822445,5.3359737,6.219352
207,0.1955394,0.122458614,5.176228,4.5374813,0.052580595,0.077673726,3.485607,3.3339534,0.18041517,-0.027447462,6.7408023,7.428835,-0.14797841,0.017542211,4.574327,4.736684,-0.08602182,0.008404311,5.056946,5.012743
208,-0.09077114,0.23584932,4.429641,4.3210354,0.04694805,-0.057475816,3.4854927,3.4246607,0.018960038,0.1696754,6.654998,6.6437697,-0.043021027,0.03543385,4.7253704,4.516466,0.028875543,-0.12117651,4.8767543,4.874864
209,0.017980933,-0.008143537,4.403268,4.5462103,-0.05214482,-0.2176979,4.25855,3.871996,-0.047904942,0.031316385,6.781334,7.001704,-0.17579882,0.022640875,5.162482,4.9767284,0.11402574,0.20385993,4.986423,5.161733
